"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000775",92,125,97,65,54,31,120,176,213,447,426,463
"RVCYZ000776",13990,16986,13040,9684,7354,8315,14250,15179,22187,13341,12065,14098
"RVCYZ000777",11600,14197,10778,5780,4964,4959,11955,13853,10931,9338,9519,10432
"RVCYZ000778",8335,9614,7090,5663,5074,5274,9326,11260,3990,9593,9216,10510
"RVCYZ000779",1068,1250,983,791,712,626,1367,1833,1241,2121,2380,2608
"RVCYZ000780",3585,4321,3310,2504,2341,2358,3780,4540,3647,4081,4386,5004
"RVCYZ000781",1085,1450,1002,956,771,729,1087,1305,1703,1389,1658,1623
"RVCYZ000782",2100,2102,1451,1174,909,932,1570,2014,3100,2369,1986,2702
"RVCYZ000783",470,571,421,319,332,298,630,951,657,1365,1666,1554
"RVCYZ000784",7128,7061,4835,4245,3743,3476,5770,7368,11474,8797,8863,10039
"RVCYZ000785",294,236,141,161,141,112,298,505,125,941,884,1111
"RVCYZ000786",106,106,65,129,81,70,129,296,7,593,568,651
"RVCYZ000787",88,73,52,84,65,42,83,220,0,416,495,454
"RVCYZ000788",307,318,224,276,194,150,430,805,16,1393,1597,1541
"RVCYZ000789",320,289,188,194,167,164,290,608,18,1198,1271,1492
"RVCYZ000790",582,622,431,542,490,305,787,1503,82,2434,3001,3003
"RVCYZ000791",706,637,330,437,397,240,705,1147,122,2156,2371,2758
"RVCYZ000792",153,166,112,103,76,67,171,228,1091,449,478,494
"RVCYZ000793",11153,13857,10533,7867,6564,6885,11107,12835,9194,9096,9501,10084
"RVCYZ000794",2159,2525,1989,1237,1152,1053,2248,2866,3611,3670,3945,4524
"RVCYZ000795",1930,2188,1622,1089,959,850,2051,2673,11116,6145,5698,6399
"RVCYZ000796",3823,4374,3180,2520,2147,2119,3783,4135,16965,5983,5396,5938
"RVCYZ000797",7125,7930,6583,6245,5604,6072,7083,7967,10567,6687,6782,7866
"RVCYZ000798",6205,7571,5477,4808,3870,3855,6518,7510,9140,8779,8784,8989
"RVCYZ000799",11526,14032,11359,9514,8064,10040,13589,13842,9464,5204,4377,5183
"RVCYZ000800",1178,1404,1018,939,687,659,1182,1682,2158,2690,2540,2850
"RVCYZ000801",2695,2787,1907,1679,1451,1329,2401,3181,4572,5868,5844,6418
"RVCYZ000802",6801,7850,5756,3590,2858,2959,6571,7830,18236,13309,11503,14327
"RVCYZ000803",155,184,142,145,112,101,186,344,101,619,709,776
"RVCYZ000804",1841,2136,1295,1130,1016,714,2273,3384,931,5060,5829,6206
"RVCYZ000805",1901,2247,1598,755,724,713,2016,2135,1251,1824,1960,2420
"RVCYZ000806",9670,11560,7820,2790,2528,2422,9750,10004,5541,7096,6662,7306
"RVCYZ000807",2087,1875,1429,1351,1165,960,2067,3093,902,3688,3917,4785
"RVCYZ000808",703,867,557,522,440,333,962,1410,1125,2365,2548,2519
"RVCYZ000809",3209,3869,2734,1895,1518,1546,3497,4474,4862,5378,5997,6177
"RVCYZ000810",706,833,492,521,398,399,835,1340,700,2600,2458,2856
"RVCYZ000811",660,713,466,522,406,348,883,1366,547,2562,2822,2963
"RVCYZ000812",532,688,437,497,432,303,801,1338,123,2418,2682,2775
"RVCYZ000813",1571,1829,1211,1000,870,633,2153,3169,1038,6899,6497,6853
"RVCYZ000814",1253,1488,974,876,721,524,1721,2705,549,5214,5458,5566
"RVCYZ000815",345,403,326,247,242,146,474,843,156,1562,1623,1860
"RVCYZ000816",602,734,549,382,314,204,768,1158,480,2066,2311,2413
"RVCYZ000817",6341,7334,5051,3940,3175,2942,6369,8390,16586,15545,15072,16770
"RVCYZ000818",3282,4098,2703,1846,1558,1373,3889,5068,2471,7098,7174,7592
"RVCYZ000819",586,585,447,366,350,198,689,979,177,1646,1705,1786
"RVCYZ000820",859,1066,609,679,638,379,1143,2101,608,3993,4144,4096
"RVCYZ000821",461,432,287,236,218,156,404,773,844,1538,1332,1866
"RVCYZ000822",1092,1150,842,894,689,627,1199,1602,1681,2612,2587,3019
"RVCYZ000823",1035,1192,856,667,553,500,1259,1765,1365,2531,2794,3047
"RVCYZ000824",2269,2733,1952,1352,1223,933,3068,3984,4293,7027,7268,7702
"RVCYZ000825",1646,2073,1363,1114,956,814,2100,3298,1284,5677,6146,6301
